Year,Category,Movie,Winner,Presenter,Date & Venue,Speech,year_standard,category_standard,year_count,link
1941 (14th) Academy Awards,Actress,Suspicion,Joan Fontaine,Ginger Rogers,"February 26, 1942; Biltmore Hotel, Biltmore Bowl (banquet)","I want to thank the ladies and gentlemen that voted me this award. And I want to say thank you, David Selznick. And if Alfred Hitchcock were here tonight I'd like to say to him, thank you, Hitch, with all my heart.",1941,Actress in a Leading Role,1941.1,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=2&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1941 (14th) Academy Awards,Actress in a Supporting Role,The Great Lie,Mary Astor,Ginger Rogers,"February 26, 1942; Biltmore Hotel, Biltmore Bowl (banquet)","Ladies and gentlemen, twenty-two years ago this coming June I first faced a motion picture camera Š—– I hasten to add I was very young. I'm going to let you write the rest of the script and just say thank you very, very much.",1941,Actress in a Supporting Role,1941.2,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=3&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1941 (14th) Academy Awards,Directing,How Green Was My Valley,John Ford (not present; accepted by producer Darryl F. Zanuck),Cecil B. DeMille,"February 26, 1942; Biltmore Hotel, Biltmore Bowl (banquet)","I would like to say that first of all this is getting to be a habit of accepting awards that justly belong to Commander Ford. Commander Ford is missed greatly at 20th Century-Fox. But 20th Century-Fox is indeed proud of Commander Ford who is tonight on a ship somewhere in the Far East. And I'm sure that were he here he would congratulate all of the other nominees, and I am certain that he would feel that, again, he was very lucky. Thank you.",1941,Directing,1941.3,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=4&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1941 (14th) Academy Awards,Documentary (Short Subject),Churchill's Island,"National Film Board of Canada (accepted by John Grierson, Canadian Film Commissioner)",John Grierson,"February 26, 1942; Biltmore Hotel, Biltmore Bowl (banquet)","I shall have great pleasure in accepting the award on behalf of Mr. Stuart Legg, the producer, and I may say a particular pleasure because he works with me.",1941,Documentary (Short Subject),1941.4,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=5&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1941 (14th) Academy Awards,Writing (Original Screenplay),Citizen Kane,"Herman J. Mankiewicz, Orson Welles (winners not present; accepted by George Schaefer, President of RKO Radio)",Preston Sturges,"February 26, 1942; Biltmore Hotel, Biltmore Bowl (banquet)","Mr. Herman Mankiewicz called me today and asked if I would be good enough to step up here tonight and receive this in his behalf. I'm flattered, of course. I'd be happier if he were here personally to receive it. Thank you very much.",1941,Writing (Original Screenplay),1941.5,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=6&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1941 (14th) Academy Awards,Writing (Original Story),Here Comes Mr. Jordan,Harry Segall,Preston Sturges,"February 26, 1942; Biltmore Hotel, Biltmore Bowl (banquet)","
",1941,Writing (Original Screenplay),1941.6,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=7&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1941 (14th) Academy Awards,Writing (Screenplay),Here Comes Mr. Jordan,"Sidney Buchman, Seton I. Miller (Buchman not present)",Preston Sturges,"February 26, 1942; Biltmore Hotel, Biltmore Bowl (banquet)","
",1941,Writing (Adapted Screenplay),1941.7,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=8&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1941 (14th) Academy Awards,Special Award,Kukan,"To Rey Scott for his extraordinary achievement in producing ""Kukan,"" the film record of China's struggle, including its photography with a 16mm camera under the most difficult and dangerous conditions. (Scott not present)",John Grierson,"February 26, 1942; Biltmore Hotel, Biltmore Bowl (banquet)",Winner not present.,1941,Honorary Award,1941.8,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=9&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1941 (14th) Academy Awards,Special Award,Target for Tonight,"To The British Ministry of Information for its vivid and dramatic presentation of the heroism of the RAF in the documentary film, ""Target for Tonight."" (accepted by presenter John Grierson)",John Grierson,"February 26, 1942; Biltmore Hotel, Biltmore Bowl (banquet)","The [certificate] for ""Target for Tonight"" I shall take possession of myself for transmission to the British government. I'd like to say of ""Target for Tonight"" that it represents probably a very high level of the humanist tradition in the documentary film; I mean none of the men concerned were actors. Here was a film made actually on the spot and with the airmen themselves. And I'd like to associate with that citation the name of Warner Bros. for having so brilliantly brought this film into this country and given it all their great support.",1941,Honorary Award,1941.9,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=10&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1941 (14th) Academy Awards,Special Award,Fantasia,"To Leopold Stokowski and his associates for their unique achievement in the creation of a new form of visualized music in Walt Disney's production, ""Fantasia,"" thereby widening the scope of the motion picture as entertainment and as an art form. (Stokowski not present; accepted by producer Walt Disney)",Mervyn LeRoy,"February 26, 1942; Biltmore Hotel, Biltmore Bowl (banquet)","
",1941,Honorary Award,1941.1,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=11&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
